strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,111,63,57,2091,446,100,0
Flat100,none,any,10,73,43,59,2225,500,100,0
Flat100,none,any,15,48,29,60,2019,430,100,0
Flat100,none,any,20,27,14,52,1040,468,100,0
Flat100,none,any,25,15,8,53,846,300,100,0
Flat100,none,any,30,4,2,50,970,135,100,0
Flat100,none,any,35,1,1,100,1105,0,100,0
Flat100,none,any,40,0,0,0,1000,0,0,0
Flat100,none,any,45,0,0,0,1000,0,0,0
Flat100,none,any,50,0,0,0,1000,0,0,0
Flat100,none,any,75,0,0,0,1000,0,0,0
Flat100,none,any,100,0,0,0,1000,0,0,0
Flat100,none,any,125,0,0,0,1000,0,0,0
Flat100,none,any,150,0,0,0,1000,0,0,0
Flat100,none,any,200,0,0,0,1000,0,0,0
Flat100,none,any,250,0,0,0,1000,0,0,0
Flat100,none,any,300,0,0,0,1000,0,0,0
Flat100,none,any,350,0,0,0,1000,0,0,0
Flat100,none,any,400,0,0,0,1000,0,0,0
Flat100,none,underdog,5,54,27,50,2261,402,100,0
Flat100,none,underdog,10,34,19,56,2367,400,100,0
Flat100,none,underdog,15,23,13,57,2022,300,100,0
Flat100,none,underdog,20,11,5,45,1260,200,100,0
Flat100,none,underdog,25,4,2,50,1007,100,100,0
Flat100,none,underdog,30,1,1,100,1105,0,100,0
Flat100,none,underdog,35,1,1,100,1105,0,100,0
Flat100,none,underdog,40,0,0,0,1000,0,0,0
Flat100,none,underdog,45,0,0,0,1000,0,0,0
Flat100,none,underdog,50,0,0,0,1000,0,0,0
Flat100,none,underdog,75,0,0,0,1000,0,0,0
Flat100,none,underdog,100,0,0,0,1000,0,0,0
Flat100,none,underdog,125,0,0,0,1000,0,0,0
Flat100,none,underdog,150,0,0,0,1000,0,0,0
Flat100,none,underdog,200,0,0,0,1000,0,0,0
Flat100,none,underdog,250,0,0,0,1000,0,0,0
Flat100,none,underdog,300,0,0,0,1000,0,0,0
Flat100,none,underdog,350,0,0,0,1000,0,0,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,52,34,65,953,316,100,0
Flat100,none,favorite,10,37,23,62,868,360,100,0
Flat100,none,favorite,15,24,15,62,907,400,100,0
Flat100,none,favorite,20,15,8,53,690,437,100,0
Flat100,none,favorite,25,10,5,50,749,369,100,0
Flat100,none,favorite,30,3,1,33,865,135,100,0
Flat100,none,favorite,35,0,0,0,1000,0,0,0
Flat100,none,favorite,40,0,0,0,1000,0,0,0
Flat100,none,favorite,45,0,0,0,1000,0,0,0
Flat100,none,favorite,50,0,0,0,1000,0,0,0
Flat100,none,favorite,75,0,0,0,1000,0,0,0
Flat100,none,favorite,100,0,0,0,1000,0,0,0
Flat100,none,favorite,125,0,0,0,1000,0,0,0
Flat100,none,favorite,150,0,0,0,1000,0,0,0
Flat100,none,favorite,200,0,0,0,1000,0,0,0
Flat100,none,favorite,250,0,0,0,1000,0,0,0
Flat100,none,favorite,300,0,0,0,1000,0,0,0
Flat100,none,favorite,350,0,0,0,1000,0,0,0
Flat100,none,favorite,400,0,0,0,1000,0,0,0
Pct5,none,any,5,111,63,57,1474,306,81,0
Pct5,none,any,10,73,43,59,1651,365,91,0
Pct5,none,any,15,48,29,60,1539,306,83,0
Pct5,none,any,20,27,14,52,977,266,60,0
Pct5,none,any,25,15,8,53,913,145,51,0
Pct5,none,any,30,4,2,50,981,68,50,0
Pct5,none,any,35,1,1,100,1052,0,50,0
Pct5,none,any,40,0,0,0,1000,0,0,0
Pct5,none,any,45,0,0,0,1000,0,0,0
Pct5,none,any,50,0,0,0,1000,0,0,0
Pct5,none,any,75,0,0,0,1000,0,0,0
Pct5,none,any,100,0,0,0,1000,0,0,0
Pct5,none,any,125,0,0,0,1000,0,0,0
Pct5,none,any,150,0,0,0,1000,0,0,0
Pct5,none,any,200,0,0,0,1000,0,0,0
Pct5,none,any,250,0,0,0,1000,0,0,0
Pct5,none,any,300,0,0,0,1000,0,0,0
Pct5,none,any,350,0,0,0,1000,0,0,0
Pct5,none,any,400,0,0,0,1000,0,0,0
Pct5,none,underdog,5,54,27,50,1673,308,89,0
Pct5,none,underdog,10,34,19,56,1827,324,101,0
Pct5,none,underdog,15,23,13,57,1570,235,88,0
Pct5,none,underdog,20,11,5,45,1105,121,61,0
Pct5,none,underdog,25,4,2,50,998,54,53,0
Pct5,none,underdog,30,1,1,100,1052,0,50,0
Pct5,none,underdog,35,1,1,100,1052,0,50,0
Pct5,none,underdog,40,0,0,0,1000,0,0,0
Pct5,none,underdog,45,0,0,0,1000,0,0,0
Pct5,none,underdog,50,0,0,0,1000,0,0,0
Pct5,none,underdog,75,0,0,0,1000,0,0,0
Pct5,none,underdog,100,0,0,0,1000,0,0,0
Pct5,none,underdog,125,0,0,0,1000,0,0,0
Pct5,none,underdog,150,0,0,0,1000,0,0,0
Pct5,none,underdog,200,0,0,0,1000,0,0,0
Pct5,none,underdog,250,0,0,0,1000,0,0,0
