strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
5% Bankroll,none,any,5,25717,15932,9785,61.95,31356581.64,31355581.64,247126851.11,0.1269,1006600.0,10000.0,0
5% Bankroll,none,any,10,24658,15386,9272,62.4,32110905.89,32109905.89,237421994.25,0.1352,894200.0,10000.0,0
5% Bankroll,none,any,15,23595,14803,8792,62.74,31971993.56,31970993.56,227038038.27,0.1408,894800.0,10000.0,0
5% Bankroll,none,any,20,22511,14244,8267,63.28,32592904.87,32591904.87,216726689.43,0.1504,918100.0,10000.0,0
5% Bankroll,none,any,25,21428,13702,7726,63.94,33555513.2,33554513.2,206636671.77,0.1624,758600.0,10000.0,0
5% Bankroll,none,any,30,20342,13129,7213,64.54,33607149.54,33606149.54,196217644.39,0.1713,714400.0,10000.0,0
5% Bankroll,none,any,35,19311,12541,6770,64.94,33382392.69,33381392.69,186910414.77,0.1786,713200.0,10000.0,0
5% Bankroll,none,any,40,18353,11979,6374,65.27,32718226.31,32717226.31,178063964.98,0.1837,651900.0,10000.0,0
5% Bankroll,none,any,45,17387,11408,5979,65.61,31891399.39,31890399.39,168646368.58,0.1891,587900.0,10000.0,0
5% Bankroll,none,any,50,16422,10851,5571,66.08,31240916.08,31239916.08,159500009.9,0.1959,594400.0,10000.0,0
5% Bankroll,none,any,75,12169,8333,3836,68.48,27517933.49,27516933.49,117852023.07,0.2335,510200.0,10000.0,0
5% Bankroll,none,any,100,8587,6108,2479,71.13,22757216.14,22756216.14,82825025.61,0.2748,491900.0,10000.0,0
5% Bankroll,none,any,125,5761,4198,1563,72.87,16379551.93,16378551.93,54666681.15,0.2996,432900.0,10000.0,0
5% Bankroll,none,any,150,3725,2777,948,74.55,11202376.31,11201376.31,34711261.6,0.3227,330700.0,10000.0,0
5% Bankroll,none,any,200,1349,1072,277,79.47,4437315.6,4436315.6,11363275.75,0.3904,60200.0,10000.0,0
5% Bankroll,none,any,250,406,334,72,82.27,806699.15,805699.15,2051660.83,0.3927,55300.0,10000.0,0
5% Bankroll,none,any,300,102,90,12,88.24,16142.02,15142.02,27912.42,0.5425,1498.67,772.35,0
5% Bankroll,none,any,350,20,17,3,85.0,1758.98,758.98,1272.65,0.5964,88.3,88.3,0
5% Bankroll,none,any,400,4,2,2,50.0,923.38,-76.62,194.34,-0.3943,98.67,50.6,0
5% Bankroll,none,favorite,5,13658,10040,3618,73.51,9818639.89,9817639.89,126004712.52,0.0779,293400.0,10000.0,0
5% Bankroll,none,favorite,10,13122,9698,3424,73.91,10189792.14,10188792.14,121272105.1,0.084,314600.0,10000.0,0
5% Bankroll,none,favorite,15,12588,9338,3250,74.18,10168412.55,10167412.55,116007563.74,0.0876,321500.0,10000.0,0
5% Bankroll,none,favorite,20,12055,8994,3061,74.61,10464322.17,10463322.17,112023818.2,0.0934,318800.0,10000.0,0
5% Bankroll,none,favorite,25,11510,8652,2858,75.17,10827871.93,10826871.93,107378589.07,0.1008,284600.0,10000.0,0
5% Bankroll,none,favorite,30,10991,8322,2669,75.72,11165454.5,11164454.5,102985254.78,0.1084,289100.0,10000.0,0
5% Bankroll,none,favorite,35,10434,7932,2502,76.02,11019961.82,11018961.82,97838258.3,0.1126,274300.0,10000.0,0
5% Bankroll,none,favorite,40,9949,7581,2368,76.2,10739756.53,10738756.53,93483345.15,0.1149,321400.0,10000.0,0
5% Bankroll,none,favorite,45,9435,7219,2216,76.51,10540147.15,10539147.15,88817328.72,0.1187,301900.0,10000.0,0
5% Bankroll,none,favorite,50,8926,6862,2064,76.88,10397599.7,10396599.7,84049262.68,0.1237,258400.0,10000.0,0
5% Bankroll,none,favorite,75,6746,5301,1445,78.58,9217463.0,9216463.0,63290229.54,0.1456,182900.0,10000.0,0
5% Bankroll,none,favorite,100,4859,3916,943,80.59,7742614.14,7741614.14,44882208.58,0.1725,146900.0,10000.0,0
5% Bankroll,none,favorite,125,3342,2743,599,82.08,5671725.52,5670725.52,30165658.19,0.188,144300.0,10000.0,0
5% Bankroll,none,favorite,150,2175,1818,357,83.59,3760279.04,3759279.04,18717312.42,0.2008,188300.0,10000.0,0
5% Bankroll,none,favorite,200,826,723,103,87.53,1320432.4,1319432.4,5286381.91,0.2496,55500.0,10000.0,0
5% Bankroll,none,favorite,250,257,233,24,90.66,41663.47,40663.47,196823.88,0.2066,6701.08,2399.59,0
5% Bankroll,none,favorite,300,62,61,1,98.39,3802.29,2802.29,6293.83,0.4452,72.61,187.49,0
5% Bankroll,none,favorite,350,9,9,0,100.0,1179.44,179.44,484.56,0.3703,0.0,57.53,0
5% Bankroll,none,favorite,400,2,2,0,100.0,1023.13,23.13,100.6,0.2299,0.0,50.6,0
5% Bankroll,none,underdog,5,11098,5343,5755,48.14,19829321.01,19828321.01,104683318.35,0.1894,875300.0,10000.0,0
5% Bankroll,none,underdog,10,10607,5157,5450,48.62,20235151.16,20234151.16,100470650.34,0.2014,786500.0,10000.0,0
5% Bankroll,none,underdog,15,10128,4959,5169,48.96,20088989.7,20087989.7,95620825.69,0.2101,755500.0,10000.0,0
5% Bankroll,none,underdog,20,9610,4762,4848,49.55,20464492.76,20463492.76,91218563.38,0.2243,734600.0,10000.0,0
5% Bankroll,none,underdog,25,9109,4583,4526,50.31,21138399.68,21137399.68,86879873.46,0.2433,587700.0,10000.0,0
5% Bankroll,none,underdog,30,8588,4367,4221,50.85,20862038.57,20861038.57,81397449.55,0.2563,556300.0,10000.0,0
5% Bankroll,none,underdog,35,8152,4188,3964,51.37,20791162.26,20790162.26,77559339.93,0.2681,506800.0,10000.0,0
5% Bankroll,none,underdog,40,7713,3995,3718,51.8,20414021.26,20413021.26,73456875.57,0.2779,440200.0,10000.0,0
5% Bankroll,none,underdog,45,7291,3806,3485,52.2,19848219.09,19847219.09,69282239.25,0.2865,379800.0,10000.0,0
5% Bankroll,none,underdog,50,6877,3624,3253,52.7,19250255.84,19249255.84,65232024.06,0.2951,415100.0,10000.0,0
5% Bankroll,none,underdog,75,4950,2745,2205,55.45,16720608.29,16719608.29,46423984.17,0.3602,339000.0,10000.0,0
5% Bankroll,none,underdog,100,3406,1985,1421,58.28,13443409.27,13442409.27,32013891.68,0.4199,349000.0,10000.0,0
5% Bankroll,none,underdog,125,2214,1323,891,59.76,9336771.24,9335771.24,19724352.33,0.4733,279000.0,10000.0,0
5% Bankroll,none,underdog,150,1411,872,539,61.8,6278082.7,6277082.7,12282222.09,0.5111,160700.0,10000.0,0
5% Bankroll,none,underdog,200,477,318,159,66.67,2076535.0,2075535.0,3245252.35,0.6396,38500.0,10000.0,0
5% Bankroll,none,underdog,250,135,93,42,68.89,81161.77,80161.77,149692.37,0.5355,13501.32,4733.15,0
5% Bankroll,none,underdog,300,36,25,11,69.44,3575.35,2575.35,3713.25,0.6936,346.88,177.89,0
5% Bankroll,none,underdog,350,11,8,3,72.73,1491.36,491.36,644.19,0.7628,102.03,74.86,0
5% Bankroll,none,underdog,400,2,0,2,0.0,902.5,-97.5,97.5,-1.0,97.5,50.0,0
Fibonacci $1,none,any,5,25717,15932,9785,61.95,5722.82,4722.82,40446.0,0.1168,440.84,233.0,12
Fibonacci $1,none,any,10,24658,15386,9272,62.4,5710.69,4710.69,37398.0,0.126,317.85,144.0,11
Fibonacci $1,none,any,15,23595,14803,8792,62.74,5762.15,4762.15,34813.0,0.1368,298.54,144.0,11
Fibonacci $1,none,any,20,22511,14244,8267,63.28,5736.13,4736.13,32608.0,0.1452,287.92,89.0,10
Fibonacci $1,none,any,25,21428,13702,7726,63.94,5828.33,4828.33,30171.0,0.16,192.61,89.0,10
Fibonacci $1,none,any,30,20342,13129,7213,64.54,5675.85,4675.85,28533.0,0.1639,202.6,89.0,10
Fibonacci $1,none,any,35,19311,12541,6770,64.94,5577.88,4577.88,26923.0,0.17,206.84,55.0,9
Fibonacci $1,none,any,40,18353,11979,6374,65.27,5490.68,4490.68,25323.0,0.1773,168.49,89.0,10
Fibonacci $1,none,any,45,17387,11408,5979,65.61,5343.88,4343.88,23507.0,0.1848,168.49,89.0,10
Fibonacci $1,none,any,50,16422,10851,5571,66.08,5177.1,4177.1,21910.0,0.1906,175.03,89.0,10
Fibonacci $1,none,any,75,12169,8333,3836,68.48,4578.17,3578.17,15324.0,0.2335,121.92,55.0,9
Fibonacci $1,none,any,100,8587,6108,2479,71.13,3811.06,2811.06,10416.0,0.2699,82.25,34.0,8
Fibonacci $1,none,any,125,5761,4198,1563,72.87,2934.47,1934.47,7157.0,0.2703,89.07,55.0,9
Fibonacci $1,none,any,150,3725,2777,948,74.55,2352.94,1352.94,4492.0,0.3012,82.74,34.0,8
Fibonacci $1,none,any,200,1349,1072,277,79.47,1586.1,586.1,1451.0,0.4039,7.27,5.0,4
Fibonacci $1,none,any,250,406,334,72,82.27,1177.84,177.84,424.0,0.4194,4.43,3.0,3
Fibonacci $1,none,any,300,102,90,12,88.24,1059.55,59.55,104.0,0.5726,2.0,2.0,2
Fibonacci $1,none,any,350,20,17,3,85.0,1011.86,11.86,20.0,0.593,1.37,1.0,1
Fibonacci $1,none,any,400,4,2,2,50.0,998.68,-1.32,5.0,-0.264,2.0,2.0,2
Fibonacci $1,none,favorite,5,13658,10040,3618,73.51,2189.6,1189.6,15982.0,0.0744,66.24,34.0,8
Fibonacci $1,none,favorite,10,13122,9698,3424,73.91,2234.97,1234.97,15227.0,0.0811,71.87,34.0,8
Fibonacci $1,none,favorite,15,12588,9338,3250,74.18,2246.51,1246.51,14469.0,0.0862,58.4,21.0,7
Fibonacci $1,none,favorite,20,12055,8994,3061,74.61,2270.01,1270.01,13758.0,0.0923,59.54,21.0,7
Fibonacci $1,none,favorite,25,11510,8652,2858,75.17,2319.06,1319.06,12985.0,0.1016,50.82,21.0,7
Fibonacci $1,none,favorite,30,10991,8322,2669,75.72,2341.93,1341.93,12351.0,0.1086,51.4,21.0,7
Fibonacci $1,none,favorite,35,10434,7932,2502,76.02,2308.16,1308.16,11733.0,0.1115,56.51,34.0,8
Fibonacci $1,none,favorite,40,9949,7581,2368,76.2,2277.16,1277.16,11137.0,0.1147,61.44,34.0,8
Fibonacci $1,none,favorite,45,9435,7219,2216,76.51,2246.67,1246.67,10557.0,0.1181,60.91,34.0,8
