strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
Fibonacci $1 (5+5-),5+5-,underdog,5,450,286,164,63.56,1359.99,359.99,639.0,0.5634,33.0,21.0,7
Fibonacci $1 (5+5-),5+5-,underdog,10,450,286,164,63.56,1359.99,359.99,639.0,0.5634,33.0,21.0,7
Fibonacci $1 (5+5-),5+5-,underdog,15,450,286,164,63.56,1359.99,359.99,639.0,0.5634,33.0,21.0,7
Fibonacci $1 (5+5-),5+5-,underdog,20,450,286,164,63.56,1359.99,359.99,639.0,0.5634,33.0,21.0,7
Fibonacci $1 (5+5-),5+5-,underdog,25,450,286,164,63.56,1359.99,359.99,639.0,0.5634,33.0,21.0,7
Fibonacci $1 (5+5-),5+5-,underdog,30,450,286,164,63.56,1359.99,359.99,639.0,0.5634,33.0,21.0,7
Fibonacci $1 (5+5-),5+5-,underdog,35,450,286,164,63.56,1359.99,359.99,639.0,0.5634,33.0,21.0,7
Fibonacci $1 (5+5-),5+5-,underdog,40,450,286,164,63.56,1359.99,359.99,639.0,0.5634,33.0,21.0,7
Fibonacci $1 (5+5-),5+5-,underdog,45,450,286,164,63.56,1359.99,359.99,639.0,0.5634,33.0,21.0,7
Fibonacci $1 (5+5-),5+5-,underdog,50,450,286,164,63.56,1359.99,359.99,639.0,0.5634,33.0,21.0,7
Fibonacci $1 (5+5-),5+5-,underdog,75,446,284,162,63.68,1359.9,359.9,635.0,0.5668,33.0,21.0,7
Fibonacci $1 (5+5-),5+5-,underdog,100,432,278,154,64.35,1346.83,346.83,594.0,0.5839,33.0,21.0,7
Fibonacci $1 (5+5-),5+5-,underdog,125,386,253,133,65.54,1312.92,312.92,495.0,0.6322,16.0,13.0,6
Fibonacci $1 (5+5-),5+5-,underdog,150,340,226,114,66.47,1268.33,268.33,423.0,0.6343,12.0,8.0,5
Fibonacci $1 (5+5-),5+5-,underdog,200,181,128,53,70.72,1155.74,155.74,199.0,0.7826,7.0,5.0,4
Fibonacci $1 (5+5-),5+5-,underdog,250,71,49,22,69.01,1061.03,61.03,76.0,0.803,2.0,2.0,2
Fibonacci $1 (5+5-),5+5-,underdog,300,22,15,7,68.18,1022.4,22.4,32.0,0.7,7.0,5.0,4
Fibonacci $1 (5+5-),5+5-,underdog,350,7,5,2,71.43,1008.56,8.56,8.0,1.07,2.0,2.0,2
Fibonacci $1 (5+5-),5+5-,underdog,400,2,0,2,0.0,998.0,-2.0,2.0,-1.0,2.0,1.0,1
