strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
Fibonacci $1,none,favorite,5,13658,10040,3618,73.51,2189.6,1189.6,15982.0,0.0744,66.24,34.0,8
Fibonacci $1,none,favorite,10,13122,9698,3424,73.91,2234.97,1234.97,15227.0,0.0811,71.87,34.0,8
Fibonacci $1,none,favorite,15,12588,9338,3250,74.18,2246.51,1246.51,14469.0,0.0862,58.4,21.0,7
Fibonacci $1,none,favorite,20,12055,8994,3061,74.61,2270.01,1270.01,13758.0,0.0923,59.54,21.0,7
Fibonacci $1,none,favorite,25,11510,8652,2858,75.17,2319.06,1319.06,12985.0,0.1016,50.82,21.0,7
Fibonacci $1,none,favorite,30,10991,8322,2669,75.72,2341.93,1341.93,12351.0,0.1086,51.4,21.0,7
Fibonacci $1,none,favorite,35,10434,7932,2502,76.02,2308.16,1308.16,11733.0,0.1115,56.51,34.0,8
Fibonacci $1,none,favorite,40,9949,7581,2368,76.2,2277.16,1277.16,11137.0,0.1147,61.44,34.0,8
Fibonacci $1,none,favorite,45,9435,7219,2216,76.51,2246.67,1246.67,10557.0,0.1181,60.91,34.0,8
Fibonacci $1,none,favorite,50,8926,6862,2064,76.88,2223.71,1223.71,9977.0,0.1227,56.09,34.0,8
Fibonacci $1,none,favorite,75,6746,5301,1445,78.58,2040.44,1040.44,7541.0,0.138,79.5,34.0,8
Fibonacci $1,none,favorite,100,4859,3916,943,80.59,1908.59,908.59,5226.0,0.1739,27.58,13.0,6
Fibonacci $1,none,favorite,125,3342,2743,599,82.08,1688.79,688.79,3553.0,0.1939,21.9,13.0,6
Fibonacci $1,none,favorite,150,2175,1818,357,83.59,1474.0,474.0,2302.0,0.2059,26.78,13.0,6
Fibonacci $1,none,favorite,200,826,723,103,87.53,1223.08,223.08,845.0,0.264,7.78,5.0,4
Fibonacci $1,none,favorite,250,257,233,24,90.66,1078.24,78.24,260.0,0.3009,2.63,2.0,2
Fibonacci $1,none,favorite,300,62,61,1,98.39,1027.12,27.12,62.0,0.4374,1.0,1.0,1
Fibonacci $1,none,favorite,350,9,9,0,100.0,1003.34,3.34,9.0,0.3711,0.0,1.0,0
Fibonacci $1,none,favorite,400,2,2,0,100.0,1000.46,0.46,2.0,0.23,0.0,1.0,0
