strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
Fibonacci $1,none,underdog,5,4671,2262,2409,48.43,0.0,-1000.0,34478.7,-0.029,8495.46,2584.0,18
Fibonacci $1,none,underdog,10,10384,5066,5318,48.79,0.0,-1000.0,152308.67,-0.0066,30436.47,10000.0,21
Fibonacci $1,none,underdog,15,4289,2108,2181,49.15,0.0,-1000.0,23488.85,-0.0426,6208.85,2204.85,17
Fibonacci $1,none,underdog,20,9378,4670,4708,49.8,0.0,-1000.0,101517.19,-0.0099,16208.31,5275.31,19
Fibonacci $1,none,underdog,25,8887,4492,4395,50.55,0.0,-1000.0,71181.23,-0.014,13961.79,4181.0,19
Fibonacci $1,none,underdog,30,8405,4287,4118,51.01,0.0,-1000.0,77223.56,-0.0129,13944.19,4181.0,19
Fibonacci $1,none,underdog,35,7983,4113,3870,51.52,0.0,-1000.0,63197.23,-0.0158,11828.74,4181.0,19
Fibonacci $1,none,underdog,40,7563,3927,3636,51.92,0.0,-1000.0,47163.31,-0.0212,10110.31,3955.31,18
Fibonacci $1,none,underdog,45,7151,3742,3409,52.33,0.0,-1000.0,44589.93,-0.0224,9072.93,3294.93,18
Fibonacci $1,none,underdog,50,6736,3561,3175,52.87,0.0,-1000.0,34386.23,-0.0291,8298.96,2584.0,18
Fibonacci $1,none,underdog,75,4950,2745,2205,55.45,6666.64,5666.64,19367.0,0.2926,2546.28,1597.0,16
Fibonacci $1,none,underdog,100,3406,1985,1421,58.28,4102.15,3102.15,7645.0,0.4058,376.0,233.0,12
Fibonacci $1,none,underdog,125,2214,1323,891,59.76,2863.2,1863.2,5120.0,0.3639,141.2,89.0,10
Fibonacci $1,none,underdog,150,1411,872,539,61.8,2101.72,1101.72,2332.0,0.4724,89.36,55.0,9
Fibonacci $1,none,underdog,200,477,318,159,66.67,1368.82,368.82,574.0,0.6425,12.0,8.0,5
Fibonacci $1,none,underdog,250,135,93,42,68.89,1104.38,104.38,149.0,0.7005,4.0,3.0,3
Fibonacci $1,none,underdog,300,36,25,11,69.44,1037.57,37.57,48.0,0.7827,7.0,5.0,4
Fibonacci $1,none,underdog,350,11,8,3,72.73,1010.84,10.84,12.0,0.9033,2.0,2.0,2
Fibonacci $1,none,underdog,400,2,0,2,0.0,998.0,-2.0,2.0,-1.0,2.0,1.0,1
