strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
Fibonacci $5 (4+4-),4+4-,any,5,8055,5572,2483,69.17,13235.35,12235.35,49435.0,0.2475,248.4,105.0,7
Fibonacci $5 (4+4-),4+4-,any,10,8051,5571,2480,69.2,13248.7,12248.7,49420.0,0.2478,248.4,105.0,7
Fibonacci $5 (4+4-),4+4-,any,15,8031,5560,2471,69.23,13238.75,12238.75,49215.0,0.2487,248.4,105.0,7
Fibonacci $5 (4+4-),4+4-,any,20,8019,5553,2466,69.25,13235.5,12235.5,49150.0,0.2489,248.4,105.0,7
Fibonacci $5 (4+4-),4+4-,any,25,8005,5546,2459,69.28,13237.05,12237.05,49055.0,0.2495,248.4,105.0,7
Fibonacci $5 (4+4-),4+4-,any,30,7972,5532,2440,69.39,13236.45,12236.45,48790.0,0.2508,248.4,105.0,7
Fibonacci $5 (4+4-),4+4-,any,35,7932,5511,2421,69.48,13252.75,12252.75,48670.0,0.2518,248.4,105.0,7
Fibonacci $5 (4+4-),4+4-,any,40,7879,5472,2407,69.45,13181.45,12181.45,48880.0,0.2492,270.0,170.0,8
Fibonacci $5 (4+4-),4+4-,any,45,7811,5439,2372,69.63,13182.15,12182.15,47980.0,0.2539,270.0,170.0,8
Fibonacci $5 (4+4-),4+4-,any,50,7722,5385,2337,69.74,13028.6,12028.6,47545.0,0.253,369.3,170.0,8
Fibonacci $5 (4+4-),4+4-,any,75,7017,4951,2066,70.56,12314.4,11314.4,42250.0,0.2678,268.45,105.0,7
Fibonacci $5 (4+4-),4+4-,any,100,5871,4239,1632,72.2,11033.15,10033.15,34605.0,0.2899,355.7,170.0,8
Fibonacci $5 (4+4-),4+4-,any,125,4472,3284,1188,73.43,9112.5,8112.5,25780.0,0.3147,163.35,105.0,7
Fibonacci $5 (4+4-),4+4-,any,150,3137,2349,788,74.88,6876.9,5876.9,18310.0,0.321,256.2,105.0,7
Fibonacci $5 (4+4-),4+4-,any,200,1246,987,259,79.21,3687.45,2687.45,6685.0,0.402,37.25,25.0,4
Fibonacci $5 (4+4-),4+4-,any,250,395,326,69,82.53,1864.05,864.05,2055.0,0.4205,20.5,15.0,3
Fibonacci $5 (4+4-),4+4-,any,300,101,89,12,88.12,1294.35,294.35,515.0,0.5716,10.0,10.0,2
Fibonacci $5 (4+4-),4+4-,any,350,20,17,3,85.0,1059.3,59.3,100.0,0.593,6.85,5.0,1
Fibonacci $5 (4+4-),4+4-,any,400,4,2,2,50.0,993.4,-6.6,25.0,-0.264,10.0,10.0,2
