strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
Fibonacci $5 (4+4-),4+4-,favorite,5,4485,3568,917,79.55,4839.8,3839.8,24345.0,0.1577,110.55,40.0,5
Fibonacci $5 (4+4-),4+4-,favorite,10,4483,3568,915,79.59,4875.75,3875.75,24265.0,0.1597,110.55,40.0,5
Fibonacci $5 (4+4-),4+4-,favorite,15,4474,3562,912,79.62,4873.6,3873.6,24195.0,0.1601,110.55,40.0,5
Fibonacci $5 (4+4-),4+4-,favorite,20,4468,3558,910,79.63,4890.55,3890.55,24105.0,0.1614,110.55,40.0,5
Fibonacci $5 (4+4-),4+4-,favorite,25,4460,3552,908,79.64,4885.45,3885.45,24050.0,0.1616,110.55,40.0,5
Fibonacci $5 (4+4-),4+4-,favorite,30,4449,3546,903,79.7,4900.8,3900.8,24005.0,0.1625,110.55,40.0,5
Fibonacci $5 (4+4-),4+4-,favorite,35,4421,3529,892,79.82,4909.35,3909.35,23845.0,0.1639,108.05,40.0,5
Fibonacci $5 (4+4-),4+4-,favorite,40,4391,3505,886,79.82,4880.6,3880.6,23670.0,0.1639,110.55,40.0,5
Fibonacci $5 (4+4-),4+4-,favorite,45,4352,3480,872,79.96,4904.0,3904.0,23340.0,0.1673,105.55,40.0,5
Fibonacci $5 (4+4-),4+4-,favorite,50,4304,3446,858,80.07,4893.0,3893.0,23090.0,0.1686,109.7,40.0,5
Fibonacci $5 (4+4-),4+4-,favorite,75,3935,3175,760,80.69,4700.35,3700.35,21135.0,0.1751,112.85,65.0,6
Fibonacci $5 (4+4-),4+4-,favorite,100,3331,2732,599,82.02,4417.25,3417.25,17640.0,0.1937,98.25,40.0,5
Fibonacci $5 (4+4-),4+4-,favorite,125,2590,2147,443,82.9,3796.85,2796.85,13575.0,0.206,99.15,40.0,5
Fibonacci $5 (4+4-),4+4-,favorite,150,1825,1536,289,84.16,3077.85,2077.85,9505.0,0.2186,92.9,40.0,5
Fibonacci $5 (4+4-),4+4-,favorite,200,760,665,95,87.5,2023.15,1023.15,3870.0,0.2644,23.9,15.0,3
Fibonacci $5 (4+4-),4+4-,favorite,250,250,228,22,91.2,1385.1,385.1,1260.0,0.3056,11.0,10.0,2
Fibonacci $5 (4+4-),4+4-,favorite,300,61,60,1,98.36,1132.2,132.2,305.0,0.4334,5.0,5.0,1
Fibonacci $5 (4+4-),4+4-,favorite,350,9,9,0,100.0,1016.7,16.7,45.0,0.3711,0.0,5.0,0
Fibonacci $5 (4+4-),4+4-,favorite,400,2,2,0,100.0,1002.3,2.3,10.0,0.23,0.0,5.0,0
