strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
Fibonacci $5,none,any,5,25717,15932,9785,61.95,24614.1,23614.1,202230.0,0.1168,2204.2,1165.0,12
Fibonacci $5,none,any,10,24658,15386,9272,62.4,24553.45,23553.45,186990.0,0.126,1589.25,720.0,11
Fibonacci $5,none,any,15,23595,14803,8792,62.74,24810.75,23810.75,174065.0,0.1368,1492.7,720.0,11
Fibonacci $5,none,any,20,22511,14244,8267,63.28,24680.65,23680.65,163040.0,0.1452,1439.6,445.0,10
Fibonacci $5,none,any,25,21428,13702,7726,63.94,25141.65,24141.65,150855.0,0.16,963.05,445.0,10
Fibonacci $5,none,any,30,20342,13129,7213,64.54,24379.25,23379.25,142665.0,0.1639,1013.0,445.0,10
Fibonacci $5,none,any,35,19311,12541,6770,64.94,23889.4,22889.4,134615.0,0.17,1034.2,275.0,9
Fibonacci $5,none,any,40,18353,11979,6374,65.27,23453.4,22453.4,126615.0,0.1773,842.45,445.0,10
Fibonacci $5,none,any,45,17387,11408,5979,65.61,22719.4,21719.4,117535.0,0.1848,842.45,445.0,10
Fibonacci $5,none,any,50,16422,10851,5571,66.08,21885.5,20885.5,109550.0,0.1906,875.15,445.0,10
Fibonacci $5,none,any,75,12169,8333,3836,68.48,18890.85,17890.85,76620.0,0.2335,609.6,275.0,9
Fibonacci $5,none,any,100,8587,6108,2479,71.13,15055.3,14055.3,52080.0,0.2699,411.25,170.0,8
Fibonacci $5,none,any,125,5761,4198,1563,72.87,10672.35,9672.35,35785.0,0.2703,445.35,275.0,9
Fibonacci $5,none,any,150,3725,2777,948,74.55,7764.7,6764.7,22460.0,0.3012,413.7,170.0,8
Fibonacci $5,none,any,200,1349,1072,277,79.47,3930.5,2930.5,7255.0,0.4039,36.35,25.0,4
Fibonacci $5,none,any,250,406,334,72,82.27,1889.2,889.2,2120.0,0.4194,22.15,15.0,3
Fibonacci $5,none,any,300,102,90,12,88.24,1297.75,297.75,520.0,0.5726,10.0,10.0,2
Fibonacci $5,none,any,350,20,17,3,85.0,1059.3,59.3,100.0,0.593,6.85,5.0,1
Fibonacci $5,none,any,400,4,2,2,50.0,993.4,-6.6,25.0,-0.264,10.0,10.0,2
