strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
Flat $100 (4+4-),4+4-,any,5,8055,5572,2483,69.17,201725.0,200725.0,805500.0,0.2492,4031.0,100.0,0
Flat $100 (4+4-),4+4-,any,10,8051,5571,2480,69.2,201919.0,200919.0,805100.0,0.2496,4031.0,100.0,0
Flat $100 (4+4-),4+4-,any,15,8031,5560,2471,69.23,201352.0,200352.0,803100.0,0.2495,4031.0,100.0,0
Flat $100 (4+4-),4+4-,any,20,8019,5553,2466,69.25,201347.0,200347.0,801900.0,0.2498,4031.0,100.0,0
Flat $100 (4+4-),4+4-,any,25,8005,5546,2459,69.28,201636.0,200636.0,800500.0,0.2506,4031.0,100.0,0
Flat $100 (4+4-),4+4-,any,30,7972,5532,2440,69.39,202244.0,201244.0,797200.0,0.2524,4031.0,100.0,0
Flat $100 (4+4-),4+4-,any,35,7932,5511,2421,69.48,202590.0,201590.0,793200.0,0.2541,3981.0,100.0,0
Flat $100 (4+4-),4+4-,any,40,7879,5472,2407,69.45,200540.0,199540.0,787900.0,0.2533,3981.0,100.0,0
Flat $100 (4+4-),4+4-,any,45,7811,5439,2372,69.63,201650.0,200650.0,781100.0,0.2569,3981.0,100.0,0
Flat $100 (4+4-),4+4-,any,50,7722,5385,2337,69.74,199786.0,198786.0,772200.0,0.2574,4834.0,100.0,0
Flat $100 (4+4-),4+4-,any,75,7017,4951,2066,70.56,189639.0,188639.0,701700.0,0.2688,4476.0,100.0,0
Flat $100 (4+4-),4+4-,any,100,5871,4239,1632,72.2,174305.0,173305.0,587100.0,0.2952,3550.0,100.0,0
Flat $100 (4+4-),4+4-,any,125,4472,3284,1188,73.43,140780.0,139780.0,447200.0,0.3126,2821.0,100.0,0
Flat $100 (4+4-),4+4-,any,150,3137,2349,788,74.88,105011.0,104011.0,313700.0,0.3316,2686.0,100.0,0
Flat $100 (4+4-),4+4-,any,200,1246,987,259,79.21,50166.0,49166.0,124600.0,0.3946,628.0,100.0,0
Flat $100 (4+4-),4+4-,any,250,395,326,69,82.53,17884.0,16884.0,39500.0,0.4274,453.0,100.0,0
Flat $100 (4+4-),4+4-,any,300,101,89,12,88.12,6742.0,5742.0,10100.0,0.5685,200.0,100.0,0
Flat $100 (4+4-),4+4-,any,350,20,17,3,85.0,2186.0,1186.0,2000.0,0.593,137.0,100.0,0
Flat $100 (4+4-),4+4-,any,400,4,2,2,50.0,846.0,-154.0,400.0,-0.385,200.0,100.0,0
