strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
Flat $100 (4+4-),4+4-,underdog,5,3278,1820,1458,55.52,123966.0,122966.0,327800.0,0.3751,1914.0,100.0,0
Flat $100 (4+4-),4+4-,underdog,10,3276,1819,1457,55.53,123960.0,122960.0,327600.0,0.3753,1914.0,100.0,0
Flat $100 (4+4-),4+4-,underdog,15,3265,1814,1451,55.56,123445.0,122445.0,326500.0,0.375,1914.0,100.0,0
Flat $100 (4+4-),4+4-,underdog,20,3259,1811,1448,55.57,123419.0,122419.0,325900.0,0.3756,1914.0,100.0,0
Flat $100 (4+4-),4+4-,underdog,25,3255,1811,1444,55.64,123819.0,122819.0,325500.0,0.3773,1914.0,100.0,0
Flat $100 (4+4-),4+4-,underdog,30,3235,1804,1431,55.77,124081.0,123081.0,323500.0,0.3805,1914.0,100.0,0
Flat $100 (4+4-),4+4-,underdog,35,3223,1800,1423,55.85,124128.0,123128.0,322300.0,0.382,1914.0,100.0,0
Flat $100 (4+4-),4+4-,underdog,40,3200,1785,1415,55.78,122543.0,121543.0,320000.0,0.3798,1914.0,100.0,0
Flat $100 (4+4-),4+4-,underdog,45,3175,1780,1395,56.06,123631.0,122631.0,317500.0,0.3862,1914.0,100.0,0
Flat $100 (4+4-),4+4-,underdog,50,3139,1762,1377,56.13,121811.0,120811.0,313900.0,0.3849,2569.0,100.0,0
Flat $100 (4+4-),4+4-,underdog,75,2818,1607,1211,57.03,114136.0,113136.0,281800.0,0.4015,2378.0,100.0,0
Flat $100 (4+4-),4+4-,underdog,100,2324,1369,955,58.91,104620.0,103620.0,232400.0,0.4459,2131.0,100.0,0
Flat $100 (4+4-),4+4-,underdog,125,1717,1031,686,60.05,83412.0,82412.0,171700.0,0.48,1577.0,100.0,0
Flat $100 (4+4-),4+4-,underdog,150,1187,733,454,61.75,62237.0,61237.0,118700.0,0.5159,1315.0,100.0,0
Flat $100 (4+4-),4+4-,underdog,200,444,294,150,66.22,28972.0,27972.0,44400.0,0.63,500.0,100.0,0
Flat $100 (4+4-),4+4-,underdog,250,132,90,42,68.18,10075.0,9075.0,13200.0,0.6875,300.0,100.0,0
Flat $100 (4+4-),4+4-,underdog,300,36,25,11,69.44,3747.0,2747.0,3600.0,0.7631,400.0,100.0,0
Flat $100 (4+4-),4+4-,underdog,350,11,8,3,72.73,1852.0,852.0,1100.0,0.7745,200.0,100.0,0
Flat $100 (4+4-),4+4-,underdog,400,2,0,2,0.0,800.0,-200.0,200.0,-1.0,200.0,100.0,0
