strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
Flat $100 (5+5-),5+5-,favorite,5,760,641,119,84.34,17710.0,16710.0,76000.0,0.2199,376.0,100.0,0
Flat $100 (5+5-),5+5-,favorite,10,760,641,119,84.34,17710.0,16710.0,76000.0,0.2199,376.0,100.0,0
Flat $100 (5+5-),5+5-,favorite,15,760,641,119,84.34,17710.0,16710.0,76000.0,0.2199,376.0,100.0,0
Flat $100 (5+5-),5+5-,favorite,20,760,641,119,84.34,17710.0,16710.0,76000.0,0.2199,376.0,100.0,0
Flat $100 (5+5-),5+5-,favorite,25,760,641,119,84.34,17710.0,16710.0,76000.0,0.2199,376.0,100.0,0
Flat $100 (5+5-),5+5-,favorite,30,760,641,119,84.34,17710.0,16710.0,76000.0,0.2199,376.0,100.0,0
Flat $100 (5+5-),5+5-,favorite,35,760,641,119,84.34,17710.0,16710.0,76000.0,0.2199,376.0,100.0,0
Flat $100 (5+5-),5+5-,favorite,40,760,641,119,84.34,17710.0,16710.0,76000.0,0.2199,376.0,100.0,0
Flat $100 (5+5-),5+5-,favorite,45,760,641,119,84.34,17710.0,16710.0,76000.0,0.2199,376.0,100.0,0
Flat $100 (5+5-),5+5-,favorite,50,760,641,119,84.34,17710.0,16710.0,76000.0,0.2199,376.0,100.0,0
Flat $100 (5+5-),5+5-,favorite,75,757,639,118,84.41,17708.0,16708.0,75700.0,0.2207,376.0,100.0,0
Flat $100 (5+5-),5+5-,favorite,100,745,629,116,84.43,17299.0,16299.0,74500.0,0.2188,376.0,100.0,0
Flat $100 (5+5-),5+5-,favorite,125,700,595,105,85.0,17040.0,16040.0,70000.0,0.2291,376.0,100.0,0
Flat $100 (5+5-),5+5-,favorite,150,610,527,83,86.39,16153.0,15153.0,61000.0,0.2484,300.0,100.0,0
Flat $100 (5+5-),5+5-,favorite,200,357,318,39,89.08,11363.0,10363.0,35700.0,0.2903,268.0,100.0,0
Flat $100 (5+5-),5+5-,favorite,250,143,134,9,93.71,5948.0,4948.0,14300.0,0.346,122.0,100.0,0
Flat $100 (5+5-),5+5-,favorite,300,43,42,1,97.67,2829.0,1829.0,4300.0,0.4253,100.0,100.0,0
Flat $100 (5+5-),5+5-,favorite,350,5,5,0,100.0,1169.0,169.0,500.0,0.338,0.0,100.0,0
Flat $100 (5+5-),5+5-,favorite,400,1,1,0,100.0,1024.0,24.0,100.0,0.24,0.0,100.0,0
