strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
Flat $100,none,any,5,25717,15932,9785,61.95,325850.0,324850.0,2571700.0,0.1263,10066.0,100.0,0
Flat $100,none,any,10,24658,15386,9272,62.4,333197.0,332197.0,2465800.0,0.1347,8942.0,100.0,0
Flat $100,none,any,15,23595,14803,8792,62.74,331742.0,330742.0,2359500.0,0.1402,8948.0,100.0,0
Flat $100,none,any,20,22511,14244,8267,63.28,337781.0,336781.0,2251100.0,0.1496,9181.0,100.0,0
Flat $100,none,any,25,21428,13702,7726,63.94,347259.0,346259.0,2142800.0,0.1616,7586.0,100.0,0
Flat $100,none,any,30,20342,13129,7213,64.54,347621.0,346621.0,2034200.0,0.1704,7144.0,100.0,0
Flat $100,none,any,35,19311,12541,6770,64.94,345190.0,344190.0,1931100.0,0.1782,7132.0,100.0,0
Flat $100,none,any,40,18353,11979,6374,65.27,338387.0,337387.0,1835300.0,0.1838,6519.0,100.0,0
Flat $100,none,any,45,17387,11408,5979,65.61,330086.0,329086.0,1738700.0,0.1893,5879.0,100.0,0
Flat $100,none,any,50,16422,10851,5571,66.08,323381.0,322381.0,1642200.0,0.1963,5944.0,100.0,0
Flat $100,none,any,75,12169,8333,3836,68.48,285913.0,284913.0,1216900.0,0.2341,5102.0,100.0,0
Flat $100,none,any,100,8587,6108,2479,71.13,238036.0,237036.0,858700.0,0.276,4919.0,100.0,0
Flat $100,none,any,125,5761,4198,1563,72.87,174182.0,173182.0,576100.0,0.3006,4329.0,100.0,0
Flat $100,none,any,150,3725,2777,948,74.55,122277.0,121277.0,372500.0,0.3256,3307.0,100.0,0
Flat $100,none,any,200,1349,1072,277,79.47,54605.0,53605.0,134900.0,0.3974,602.0,100.0,0
Flat $100,none,any,250,406,334,72,82.27,18212.0,17212.0,40600.0,0.4239,553.0,100.0,0
Flat $100,none,any,300,102,90,12,88.24,6810.0,5810.0,10200.0,0.5696,200.0,100.0,0
Flat $100,none,any,350,20,17,3,85.0,2186.0,1186.0,2000.0,0.593,137.0,100.0,0
Flat $100,none,any,400,4,2,2,50.0,846.0,-154.0,400.0,-0.385,200.0,100.0,0
