strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
Flat $100,none,favorite,5,52,28,24,53.85,0.0,-1000.0,5114.4,-0.1955,1212.0,100.0,0
Flat $100,none,favorite,10,13122,9698,3424,73.91,113042.0,112042.0,1312200.0,0.0854,3146.0,100.0,0
Flat $100,none,favorite,15,12588,9338,3250,74.18,112781.0,111781.0,1258800.0,0.0888,3215.0,100.0,0
Flat $100,none,favorite,20,12055,8994,3061,74.61,115398.0,114398.0,1205500.0,0.0949,3188.0,100.0,0
Flat $100,none,favorite,25,11510,8652,2858,75.17,118900.0,117900.0,1151000.0,0.1024,2846.0,100.0,0
Flat $100,none,favorite,30,10991,8322,2669,75.72,122195.0,121195.0,1099100.0,0.1103,2891.0,100.0,0
Flat $100,none,favorite,35,10434,7932,2502,76.02,120637.0,119637.0,1043400.0,0.1147,2743.0,100.0,0
Flat $100,none,favorite,40,9949,7581,2368,76.2,117766.0,116766.0,994900.0,0.1174,3214.0,100.0,0
Flat $100,none,favorite,45,9435,7219,2216,76.51,115693.0,114693.0,943500.0,0.1216,3019.0,100.0,0
Flat $100,none,favorite,50,8926,6862,2064,76.88,114226.0,113226.0,892600.0,0.1268,2584.0,100.0,0
Flat $100,none,favorite,75,6746,5301,1445,78.58,102250.0,101250.0,674600.0,0.1501,1829.0,100.0,0
Flat $100,none,favorite,100,4859,3916,943,80.59,87481.0,86481.0,485900.0,0.178,1469.0,100.0,0
Flat $100,none,favorite,125,3342,2743,599,82.08,66716.0,65716.0,334200.0,0.1966,1443.0,100.0,0
Flat $100,none,favorite,150,2175,1818,357,83.59,47536.0,46536.0,217500.0,0.214,1883.0,100.0,0
Flat $100,none,favorite,200,826,723,103,87.53,23126.0,22126.0,82600.0,0.2679,555.0,100.0,0
Flat $100,none,favorite,250,257,233,24,90.66,8656.0,7656.0,25700.0,0.2979,285.0,100.0,0
Flat $100,none,favorite,300,62,61,1,98.39,3712.0,2712.0,6200.0,0.4374,100.0,100.0,0
Flat $100,none,favorite,350,9,9,0,100.0,1334.0,334.0,900.0,0.3711,0.0,100.0,0
Flat $100,none,favorite,400,2,2,0,100.0,1046.0,46.0,200.0,0.23,0.0,100.0,0
