strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
Flat $100,none,underdog,5,11098,5343,5755,48.14,211115.0,210115.0,1109800.0,0.1893,8753.0,100.0,0
Flat $100,none,underdog,10,10607,5157,5450,48.62,215003.0,214003.0,1060700.0,0.2018,7865.0,100.0,0
Flat $100,none,underdog,15,10128,4959,5169,48.96,213483.0,212483.0,1012800.0,0.2098,7555.0,100.0,0
Flat $100,none,underdog,20,9610,4762,4848,49.55,216976.0,215976.0,961000.0,0.2247,7346.0,100.0,0
Flat $100,none,underdog,25,9109,4583,4526,50.31,223170.0,222170.0,910900.0,0.2439,5877.0,100.0,0
Flat $100,none,underdog,30,8588,4367,4221,50.85,220690.0,219690.0,858800.0,0.2558,5563.0,100.0,0
Flat $100,none,underdog,35,8152,4188,3964,51.37,219560.0,218560.0,815200.0,0.2681,5068.0,100.0,0
Flat $100,none,underdog,40,7713,3995,3718,51.8,215587.0,214587.0,771300.0,0.2782,4402.0,100.0,0
Flat $100,none,underdog,45,7291,3806,3485,52.2,210080.0,209080.0,729100.0,0.2868,3798.0,100.0,0
Flat $100,none,underdog,50,6877,3624,3253,52.7,203996.0,202996.0,687700.0,0.2952,4151.0,100.0,0
Flat $100,none,underdog,75,4950,2745,2205,55.45,178461.0,177461.0,495000.0,0.3585,3390.0,100.0,0
Flat $100,none,underdog,100,3406,1985,1421,58.28,145172.0,144172.0,340600.0,0.4233,3490.0,100.0,0
Flat $100,none,underdog,125,2214,1323,891,59.76,104350.0,103350.0,221400.0,0.4668,2790.0,100.0,0
Flat $100,none,underdog,150,1411,872,539,61.8,73424.0,72424.0,141100.0,0.5133,1607.0,100.0,0
Flat $100,none,underdog,200,477,318,159,66.67,31300.0,30300.0,47700.0,0.6352,500.0,100.0,0
Flat $100,none,underdog,250,135,93,42,68.89,10459.0,9459.0,13500.0,0.7007,300.0,100.0,0
Flat $100,none,underdog,300,36,25,11,69.44,3747.0,2747.0,3600.0,0.7631,400.0,100.0,0
Flat $100,none,underdog,350,11,8,3,72.73,1852.0,852.0,1100.0,0.7745,200.0,100.0,0
Flat $100,none,underdog,400,2,0,2,0.0,800.0,-200.0,200.0,-1.0,200.0,100.0,0
