strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
Flat $50 (4+4-),4+4-,any,5,8055,5572,2483,69.17,101362.5,100362.5,402750.0,0.2492,2015.5,50.0,0
Flat $50 (4+4-),4+4-,any,10,8051,5571,2480,69.2,101459.5,100459.5,402550.0,0.2496,2015.5,50.0,0
Flat $50 (4+4-),4+4-,any,15,8031,5560,2471,69.23,101176.0,100176.0,401550.0,0.2495,2015.5,50.0,0
Flat $50 (4+4-),4+4-,any,20,8019,5553,2466,69.25,101173.5,100173.5,400950.0,0.2498,2015.5,50.0,0
Flat $50 (4+4-),4+4-,any,25,8005,5546,2459,69.28,101318.0,100318.0,400250.0,0.2506,2015.5,50.0,0
Flat $50 (4+4-),4+4-,any,30,7972,5532,2440,69.39,101622.0,100622.0,398600.0,0.2524,2015.5,50.0,0
Flat $50 (4+4-),4+4-,any,35,7932,5511,2421,69.48,101795.0,100795.0,396600.0,0.2541,1990.5,50.0,0
Flat $50 (4+4-),4+4-,any,40,7879,5472,2407,69.45,100770.0,99770.0,393950.0,0.2533,1990.5,50.0,0
Flat $50 (4+4-),4+4-,any,45,7811,5439,2372,69.63,101325.0,100325.0,390550.0,0.2569,1990.5,50.0,0
Flat $50 (4+4-),4+4-,any,50,7722,5385,2337,69.74,100393.0,99393.0,386100.0,0.2574,2417.0,50.0,0
Flat $50 (4+4-),4+4-,any,75,7017,4951,2066,70.56,95319.5,94319.5,350850.0,0.2688,2238.0,50.0,0
Flat $50 (4+4-),4+4-,any,100,5871,4239,1632,72.2,87652.5,86652.5,293550.0,0.2952,1775.0,50.0,0
Flat $50 (4+4-),4+4-,any,125,4472,3284,1188,73.43,70890.0,69890.0,223600.0,0.3126,1410.5,50.0,0
Flat $50 (4+4-),4+4-,any,150,3137,2349,788,74.88,53005.5,52005.5,156850.0,0.3316,1343.0,50.0,0
Flat $50 (4+4-),4+4-,any,200,1246,987,259,79.21,25583.0,24583.0,62300.0,0.3946,314.0,50.0,0
Flat $50 (4+4-),4+4-,any,250,395,326,69,82.53,9442.0,8442.0,19750.0,0.4274,226.5,50.0,0
Flat $50 (4+4-),4+4-,any,300,101,89,12,88.12,3871.0,2871.0,5050.0,0.5685,100.0,50.0,0
Flat $50 (4+4-),4+4-,any,350,20,17,3,85.0,1593.0,593.0,1000.0,0.593,68.5,50.0,0
Flat $50 (4+4-),4+4-,any,400,4,2,2,50.0,923.0,-77.0,200.0,-0.385,100.0,50.0,0
