strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
Flat $50 (4+4-),4+4-,underdog,5,3278,1820,1458,55.52,62483.0,61483.0,163900.0,0.3751,957.0,50.0,0
Flat $50 (4+4-),4+4-,underdog,10,3276,1819,1457,55.53,62480.0,61480.0,163800.0,0.3753,957.0,50.0,0
Flat $50 (4+4-),4+4-,underdog,15,3265,1814,1451,55.56,62222.5,61222.5,163250.0,0.375,957.0,50.0,0
Flat $50 (4+4-),4+4-,underdog,20,3259,1811,1448,55.57,62209.5,61209.5,162950.0,0.3756,957.0,50.0,0
Flat $50 (4+4-),4+4-,underdog,25,3255,1811,1444,55.64,62409.5,61409.5,162750.0,0.3773,957.0,50.0,0
Flat $50 (4+4-),4+4-,underdog,30,3235,1804,1431,55.77,62540.5,61540.5,161750.0,0.3805,957.0,50.0,0
Flat $50 (4+4-),4+4-,underdog,35,3223,1800,1423,55.85,62564.0,61564.0,161150.0,0.382,957.0,50.0,0
Flat $50 (4+4-),4+4-,underdog,40,3200,1785,1415,55.78,61771.5,60771.5,160000.0,0.3798,957.0,50.0,0
Flat $50 (4+4-),4+4-,underdog,45,3175,1780,1395,56.06,62315.5,61315.5,158750.0,0.3862,957.0,50.0,0
Flat $50 (4+4-),4+4-,underdog,50,3139,1762,1377,56.13,61405.5,60405.5,156950.0,0.3849,1284.5,50.0,0
Flat $50 (4+4-),4+4-,underdog,75,2818,1607,1211,57.03,57568.0,56568.0,140900.0,0.4015,1189.0,50.0,0
Flat $50 (4+4-),4+4-,underdog,100,2324,1369,955,58.91,52810.0,51810.0,116200.0,0.4459,1065.5,50.0,0
Flat $50 (4+4-),4+4-,underdog,125,1717,1031,686,60.05,42206.0,41206.0,85850.0,0.48,788.5,50.0,0
Flat $50 (4+4-),4+4-,underdog,150,1187,733,454,61.75,31618.5,30618.5,59350.0,0.5159,657.5,50.0,0
Flat $50 (4+4-),4+4-,underdog,200,444,294,150,66.22,14986.0,13986.0,22200.0,0.63,250.0,50.0,0
Flat $50 (4+4-),4+4-,underdog,250,132,90,42,68.18,5537.5,4537.5,6600.0,0.6875,150.0,50.0,0
Flat $50 (4+4-),4+4-,underdog,300,36,25,11,69.44,2373.5,1373.5,1800.0,0.7631,200.0,50.0,0
Flat $50 (4+4-),4+4-,underdog,350,11,8,3,72.73,1426.0,426.0,550.0,0.7745,100.0,50.0,0
Flat $50 (4+4-),4+4-,underdog,400,2,0,2,0.0,900.0,-100.0,100.0,-1.0,100.0,50.0,0
