strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
Flat $50 (5+5-),5+5-,favorite,5,760,641,119,84.34,9355.0,8355.0,38000.0,0.2199,188.0,50.0,0
Flat $50 (5+5-),5+5-,favorite,10,760,641,119,84.34,9355.0,8355.0,38000.0,0.2199,188.0,50.0,0
Flat $50 (5+5-),5+5-,favorite,15,760,641,119,84.34,9355.0,8355.0,38000.0,0.2199,188.0,50.0,0
Flat $50 (5+5-),5+5-,favorite,20,760,641,119,84.34,9355.0,8355.0,38000.0,0.2199,188.0,50.0,0
Flat $50 (5+5-),5+5-,favorite,25,760,641,119,84.34,9355.0,8355.0,38000.0,0.2199,188.0,50.0,0
Flat $50 (5+5-),5+5-,favorite,30,760,641,119,84.34,9355.0,8355.0,38000.0,0.2199,188.0,50.0,0
Flat $50 (5+5-),5+5-,favorite,35,760,641,119,84.34,9355.0,8355.0,38000.0,0.2199,188.0,50.0,0
Flat $50 (5+5-),5+5-,favorite,40,760,641,119,84.34,9355.0,8355.0,38000.0,0.2199,188.0,50.0,0
Flat $50 (5+5-),5+5-,favorite,45,760,641,119,84.34,9355.0,8355.0,38000.0,0.2199,188.0,50.0,0
Flat $50 (5+5-),5+5-,favorite,50,760,641,119,84.34,9355.0,8355.0,38000.0,0.2199,188.0,50.0,0
Flat $50 (5+5-),5+5-,favorite,75,757,639,118,84.41,9354.0,8354.0,37850.0,0.2207,188.0,50.0,0
Flat $50 (5+5-),5+5-,favorite,100,745,629,116,84.43,9149.5,8149.5,37250.0,0.2188,188.0,50.0,0
Flat $50 (5+5-),5+5-,favorite,125,700,595,105,85.0,9020.0,8020.0,35000.0,0.2291,188.0,50.0,0
Flat $50 (5+5-),5+5-,favorite,150,610,527,83,86.39,8576.5,7576.5,30500.0,0.2484,150.0,50.0,0
Flat $50 (5+5-),5+5-,favorite,200,357,318,39,89.08,6181.5,5181.5,17850.0,0.2903,134.0,50.0,0
Flat $50 (5+5-),5+5-,favorite,250,143,134,9,93.71,3474.0,2474.0,7150.0,0.346,61.0,50.0,0
Flat $50 (5+5-),5+5-,favorite,300,43,42,1,97.67,1914.5,914.5,2150.0,0.4253,50.0,50.0,0
Flat $50 (5+5-),5+5-,favorite,350,5,5,0,100.0,1084.5,84.5,250.0,0.338,0.0,50.0,0
Flat $50 (5+5-),5+5-,favorite,400,1,1,0,100.0,1012.0,12.0,50.0,0.24,0.0,50.0,0
