strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
5% Bankroll,none,any,5,25717,15932,9785,61.95,31356581.64,31355581.64,247126851.11,0.1269,1006600.0,10000.0,0
5% Bankroll,none,any,10,24658,15386,9272,62.4,32110905.89,32109905.89,237421994.25,0.1352,894200.0,10000.0,0
5% Bankroll,none,any,15,23595,14803,8792,62.74,31971993.56,31970993.56,227038038.27,0.1408,894800.0,10000.0,0
5% Bankroll,none,any,20,22511,14244,8267,63.28,32592904.87,32591904.87,216726689.43,0.1504,918100.0,10000.0,0
5% Bankroll,none,any,25,21428,13702,7726,63.94,33555513.2,33554513.2,206636671.77,0.1624,758600.0,10000.0,0
5% Bankroll,none,any,30,20342,13129,7213,64.54,33607149.54,33606149.54,196217644.39,0.1713,714400.0,10000.0,0
5% Bankroll,none,any,35,19311,12541,6770,64.94,33382392.69,33381392.69,186910414.77,0.1786,713200.0,10000.0,0
5% Bankroll,none,any,40,18353,11979,6374,65.27,32718226.31,32717226.31,178063964.98,0.1837,651900.0,10000.0,0
5% Bankroll,none,any,45,17387,11408,5979,65.61,31891399.39,31890399.39,168646368.58,0.1891,587900.0,10000.0,0
5% Bankroll,none,any,50,16422,10851,5571,66.08,31240916.08,31239916.08,159500009.9,0.1959,594400.0,10000.0,0
5% Bankroll,none,any,75,12169,8333,3836,68.48,27517933.49,27516933.49,117852023.07,0.2335,510200.0,10000.0,0
5% Bankroll,none,any,100,8587,6108,2479,71.13,22757216.14,22756216.14,82825025.61,0.2748,491900.0,10000.0,0
5% Bankroll,none,any,125,5761,4198,1563,72.87,16379551.93,16378551.93,54666681.15,0.2996,432900.0,10000.0,0
5% Bankroll,none,any,150,3725,2777,948,74.55,11202376.31,11201376.31,34711261.6,0.3227,330700.0,10000.0,0
5% Bankroll,none,any,200,1349,1072,277,79.47,4437315.6,4436315.6,11363275.75,0.3904,60200.0,10000.0,0
5% Bankroll,none,any,250,406,334,72,82.27,806699.15,805699.15,2051660.83,0.3927,55300.0,10000.0,0
5% Bankroll,none,any,300,102,90,12,88.24,16142.02,15142.02,27912.42,0.5425,1498.67,772.35,0
5% Bankroll,none,any,350,20,17,3,85.0,1758.98,758.98,1272.65,0.5964,88.3,88.3,0
5% Bankroll,none,any,400,4,2,2,50.0,923.38,-76.62,194.34,-0.3943,98.67,50.6,0
