strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
5% Bankroll,none,favorite,5,13658,10040,3618,73.51,9818639.89,9817639.89,126004712.52,0.0779,293400.0,10000.0,0
5% Bankroll,none,favorite,10,13122,9698,3424,73.91,10189792.14,10188792.14,121272105.1,0.084,314600.0,10000.0,0
5% Bankroll,none,favorite,15,12588,9338,3250,74.18,10168412.55,10167412.55,116007563.74,0.0876,321500.0,10000.0,0
5% Bankroll,none,favorite,20,12055,8994,3061,74.61,10464322.17,10463322.17,112023818.2,0.0934,318800.0,10000.0,0
5% Bankroll,none,favorite,25,11510,8652,2858,75.17,10827871.93,10826871.93,107378589.07,0.1008,284600.0,10000.0,0
5% Bankroll,none,favorite,30,10991,8322,2669,75.72,11165454.5,11164454.5,102985254.78,0.1084,289100.0,10000.0,0
5% Bankroll,none,favorite,35,10434,7932,2502,76.02,11019961.82,11018961.82,97838258.3,0.1126,274300.0,10000.0,0
5% Bankroll,none,favorite,40,9949,7581,2368,76.2,10739756.53,10738756.53,93483345.15,0.1149,321400.0,10000.0,0
5% Bankroll,none,favorite,45,9435,7219,2216,76.51,10540147.15,10539147.15,88817328.72,0.1187,301900.0,10000.0,0
5% Bankroll,none,favorite,50,8926,6862,2064,76.88,10397599.7,10396599.7,84049262.68,0.1237,258400.0,10000.0,0
5% Bankroll,none,favorite,75,6746,5301,1445,78.58,9217463.0,9216463.0,63290229.54,0.1456,182900.0,10000.0,0
5% Bankroll,none,favorite,100,4859,3916,943,80.59,7742614.14,7741614.14,44882208.58,0.1725,146900.0,10000.0,0
5% Bankroll,none,favorite,125,3342,2743,599,82.08,5671725.52,5670725.52,30165658.19,0.188,144300.0,10000.0,0
5% Bankroll,none,favorite,150,2175,1818,357,83.59,3760279.04,3759279.04,18717312.42,0.2008,188300.0,10000.0,0
5% Bankroll,none,favorite,200,826,723,103,87.53,1320432.4,1319432.4,5286381.91,0.2496,55500.0,10000.0,0
5% Bankroll,none,favorite,250,257,233,24,90.66,41663.47,40663.47,196823.88,0.2066,6701.08,2399.59,0
5% Bankroll,none,favorite,300,62,61,1,98.39,3802.29,2802.29,6293.83,0.4452,72.61,187.49,0
5% Bankroll,none,favorite,350,9,9,0,100.0,1179.44,179.44,484.56,0.3703,0.0,57.53,0
5% Bankroll,none,favorite,400,2,2,0,100.0,1023.13,23.13,100.6,0.2299,0.0,50.6,0
