strategy,hero_filter,odds_condition,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake,max_fib_step
5% Bankroll,none,underdog,5,11098,5343,5755,48.14,19829321.01,19828321.01,104683318.35,0.1894,875300.0,10000.0,0
5% Bankroll,none,underdog,10,10607,5157,5450,48.62,20235151.16,20234151.16,100470650.34,0.2014,786500.0,10000.0,0
5% Bankroll,none,underdog,15,10128,4959,5169,48.96,20088989.7,20087989.7,95620825.69,0.2101,755500.0,10000.0,0
5% Bankroll,none,underdog,20,9610,4762,4848,49.55,20464492.76,20463492.76,91218563.38,0.2243,734600.0,10000.0,0
5% Bankroll,none,underdog,25,9109,4583,4526,50.31,21138399.68,21137399.68,86879873.46,0.2433,587700.0,10000.0,0
5% Bankroll,none,underdog,30,8588,4367,4221,50.85,20862038.57,20861038.57,81397449.55,0.2563,556300.0,10000.0,0
5% Bankroll,none,underdog,35,8152,4188,3964,51.37,20791162.26,20790162.26,77559339.93,0.2681,506800.0,10000.0,0
5% Bankroll,none,underdog,40,7713,3995,3718,51.8,20414021.26,20413021.26,73456875.57,0.2779,440200.0,10000.0,0
5% Bankroll,none,underdog,45,7291,3806,3485,52.2,19848219.09,19847219.09,69282239.25,0.2865,379800.0,10000.0,0
5% Bankroll,none,underdog,50,6877,3624,3253,52.7,19250255.84,19249255.84,65232024.06,0.2951,415100.0,10000.0,0
5% Bankroll,none,underdog,75,4950,2745,2205,55.45,16720608.29,16719608.29,46423984.17,0.3602,339000.0,10000.0,0
5% Bankroll,none,underdog,100,3406,1985,1421,58.28,13443409.27,13442409.27,32013891.68,0.4199,349000.0,10000.0,0
5% Bankroll,none,underdog,125,2214,1323,891,59.76,9336771.24,9335771.24,19724352.33,0.4733,279000.0,10000.0,0
5% Bankroll,none,underdog,150,1411,872,539,61.8,6278082.7,6277082.7,12282222.09,0.5111,160700.0,10000.0,0
5% Bankroll,none,underdog,200,477,318,159,66.67,2076535.0,2075535.0,3245252.35,0.6396,38500.0,10000.0,0
5% Bankroll,none,underdog,250,135,93,42,68.89,81161.77,80161.77,149692.37,0.5355,13501.32,4733.15,0
5% Bankroll,none,underdog,300,36,25,11,69.44,3575.35,2575.35,3713.25,0.6936,346.88,177.89,0
5% Bankroll,none,underdog,350,11,8,3,72.73,1491.36,491.36,644.19,0.7628,102.03,74.86,0
5% Bankroll,none,underdog,400,2,0,2,0.0,902.5,-97.5,97.5,-1.0,97.5,50.0,0
