strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,83,47,57,0,1559,100,0
Flat100,none,any,10,83,48,58,186,1437,100,0
Flat100,none,any,15,76,43,57,0,1488,100,0
Flat100,none,any,20,76,43,57,0,1488,100,0
Flat100,none,any,25,75,45,60,430,1222,100,0
Flat100,none,any,30,69,43,62,737,907,100,0
Flat100,none,any,35,66,41,62,786,862,100,0
Flat100,none,any,40,65,40,62,765,883,100,0
Flat100,none,any,45,63,39,62,848,900,100,0
Flat100,none,any,50,56,37,66,1296,691,100,0
Flat100,none,any,75,41,24,59,826,923,100,0
Flat100,none,any,100,32,17,53,503,951,100,0
Flat100,none,any,125,20,11,55,815,520,100,0
Flat100,none,any,150,13,8,62,1072,247,100,0
Flat100,none,any,200,6,5,83,1171,100,100,0
Flat100,none,any,250,3,2,67,957,100,100,0
Flat100,none,any,300,0,0,0,1000,0,0,0
Flat100,none,any,350,0,0,0,1000,0,0,0
Flat100,none,any,400,0,0,0,1000,0,0,0
Flat100,none,underdog,5,24,9,38,683,666,100,0
Flat100,none,underdog,10,23,9,39,783,566,100,0
Flat100,none,underdog,15,22,8,36,598,751,100,0
Flat100,none,underdog,20,22,8,36,598,751,100,0
Flat100,none,underdog,25,20,8,40,798,551,100,0
Flat100,none,underdog,30,18,7,39,813,580,100,0
Flat100,none,underdog,35,17,7,41,913,580,100,0
Flat100,none,underdog,40,17,7,41,913,580,100,0
Flat100,none,underdog,45,17,7,41,913,580,100,0
Flat100,none,underdog,50,15,7,47,1113,480,100,0
Flat100,none,underdog,75,12,5,42,973,500,100,0
Flat100,none,underdog,100,10,4,40,852,400,100,0
Flat100,none,underdog,125,7,3,43,952,300,100,0
Flat100,none,underdog,150,5,3,60,1152,200,100,0
Flat100,none,underdog,200,2,1,50,1023,100,100,0
Flat100,none,underdog,250,1,0,0,900,100,100,0
Flat100,none,underdog,300,0,0,0,1000,0,0,0
Flat100,none,underdog,350,0,0,0,1000,0,0,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,61,40,66,469,1090,100,0
Flat100,none,favorite,10,59,39,66,503,990,100,0
Flat100,none,favorite,15,56,37,66,532,890,100,0
Flat100,none,favorite,20,56,37,66,532,890,100,0
Flat100,none,favorite,25,54,37,69,732,790,100,0
Flat100,none,favorite,30,50,36,72,1024,567,100,0
Flat100,none,favorite,35,48,34,71,973,593,100,0
Flat100,none,favorite,40,47,33,70,952,614,100,0
Flat100,none,favorite,45,45,32,71,1035,579,100,0
Flat100,none,favorite,50,40,30,75,1283,414,100,0
Flat100,none,favorite,75,28,19,68,953,591,100,0
Flat100,none,favorite,100,22,13,59,651,643,100,0
Flat100,none,favorite,125,13,8,62,863,300,100,0
Flat100,none,favorite,150,8,5,62,920,200,100,0
Flat100,none,favorite,200,4,4,100,1148,0,100,0
Flat100,none,favorite,250,2,2,100,1057,0,100,0
