strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,137,85,62,3124,600,100,0
Flat100,none,any,10,128,81,63,3189,631,100,0
Flat100,none,any,15,121,77,64,3084,532,100,0
Flat100,none,any,20,116,75,65,3159,532,100,0
Flat100,none,any,25,111,71,64,3033,532,100,0
Flat100,none,any,30,104,67,64,2976,532,100,0
Flat100,none,any,35,98,63,64,2799,532,100,0
Flat100,none,any,40,91,57,63,2352,532,100,0
Flat100,none,any,45,87,57,66,2752,532,100,0
Flat100,none,any,50,84,55,65,2692,532,100,0
Flat100,none,any,75,58,42,72,3329,231,100,0
Flat100,none,any,100,41,28,68,2402,233,100,0
Flat100,none,any,125,27,21,78,2556,213,100,0
Flat100,none,any,150,12,11,92,1865,100,100,0
Flat100,none,any,200,2,2,100,1186,0,100,0
Flat100,none,any,250,1,1,100,1028,0,100,0
Flat100,none,any,300,1,1,100,1028,0,100,0
Flat100,none,any,350,0,0,0,1000,0,0,0
Flat100,none,any,400,0,0,0,1000,0,0,0
Flat100,none,underdog,5,63,34,54,2659,500,100,0
Flat100,none,underdog,10,56,31,55,2700,500,100,0
Flat100,none,underdog,15,53,30,57,2720,412,100,0
Flat100,none,underdog,20,49,28,57,2695,400,100,0
Flat100,none,underdog,25,48,28,58,2795,400,100,0
Flat100,none,underdog,30,44,26,59,2733,400,100,0
Flat100,none,underdog,35,42,25,60,2701,400,100,0
Flat100,none,underdog,40,37,21,57,2335,400,100,0
Flat100,none,underdog,45,35,21,60,2535,300,100,0
Flat100,none,underdog,50,33,20,61,2530,300,100,0
Flat100,none,underdog,75,26,20,77,3230,200,100,0
Flat100,none,underdog,100,20,14,70,2444,200,100,0
Flat100,none,underdog,125,15,11,73,2318,200,100,0
Flat100,none,underdog,150,5,5,100,1709,0,100,0
Flat100,none,underdog,200,1,1,100,1158,0,100,0
Flat100,none,underdog,250,0,0,0,1000,0,0,0
Flat100,none,underdog,300,0,0,0,1000,0,0,0
Flat100,none,underdog,350,0,0,0,1000,0,0,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,68,47,69,1311,400,100,0
Flat100,none,favorite,10,66,46,70,1335,400,100,0
Flat100,none,favorite,15,63,44,70,1300,400,100,0
Flat100,none,favorite,20,62,44,71,1400,400,100,0
Flat100,none,favorite,25,58,40,69,1174,400,100,0
Flat100,none,favorite,30,55,38,69,1179,320,100,0
Flat100,none,favorite,35,52,36,69,1124,320,100,0
Flat100,none,favorite,40,50,34,68,1043,320,100,0
Flat100,none,favorite,45,48,34,71,1243,312,100,0
Flat100,none,favorite,50,47,33,70,1188,312,100,0
Flat100,none,favorite,75,28,20,71,1125,220,100,0
Flat100,none,favorite,100,18,13,72,1071,232,100,0
Flat100,none,favorite,125,11,9,82,1151,190,100,0
Flat100,none,favorite,150,6,5,83,1069,100,100,0
Flat100,none,favorite,200,1,1,100,1028,0,100,0
Flat100,none,favorite,250,1,1,100,1028,0,100,0
Flat100,none,favorite,300,1,1,100,1028,0,100,0
Flat100,none,favorite,350,0,0,0,1000,0,0,0
Flat100,none,favorite,400,0,0,0,1000,0,0,0
Pct5,none,any,5,137,85,62,2442,867,164,0
Pct5,none,any,10,128,81,63,2554,999,178,0
Pct5,none,any,15,121,77,64,2448,787,162,0
Pct5,none,any,20,116,75,65,2559,823,169,0
